rule,entropy_mean,entropy_std,entropy_ci95,sens_mean,sens_std,sens_ci95,lyap_mean,lyap_std,lyap_ci95,lyap_bad_frac,glider_heuristic,runs,N,T,seed,cluster
43,0.999757425480076,0.000235408812122,0.0001031724608558,0.080820895522388,0.1210619180281288,0.053057724926691,0.0135126246144976,0.0070475110412458,0.0046043738802806,0.55,0,20,200,200,12345,1
44,0.6445181516400497,0.0342175181232961,0.0149964885228241,0.0042910447761194,0.0040363795512389,0.0017690213356738,0.0019835475175292,0.0019863119115866,0.0010052125193159,0.25,0,20,200,200,12345,1
45,0.996584152302468,0.0004280292047519,0.0001875920700433,0.290339552238806,0.0216431458057904,0.0094855268726626,0.0230330669535999,0.0002863996141782,0.0001255201651823,0.0,0,20,200,200,12345,2
46,0.95224586734506,0.0202372781877142,0.0088693782226313,0.0064875621890547,0.008065274355982,0.0035347623365636,0.0038123094930796,0.0010959619221467,0.0006792842369487,0.5,0,20,200,200,12345,1
47,0.9920760828149028,0.0067673979477026,0.0029659429210037,0.0097898009950248,0.0171815594745476,0.0075301504491306,0.0068220516243912,0.0044949712570488,0.0025432694079516,0.4,0,20,200,200,12345,1
48,0.8036386343541487,0.0312933021065408,0.0137148943471298,0.005,0.0036093345776617,0.0015818606239616,0.0018904014015271,0.0018099215463626,0.0010695952828871,0.4499999999999999,1,20,200,200,12345,1
49,0.9502607589846134,0.0087351797884172,0.0038283613373062,0.0085646766169154,0.0124142434482191,0.005440782078932,0.0032131740022338,0.0035885749589042,0.0018160694975205,0.25,1,20,200,200,12345,1
50,0.9993841872020176,0.0004395990588067,0.000192662782154,0.0057512437810945,0.0051481980062117,0.0022562972578896,0.0042259829805025,0.0028931601613248,0.0014176484790491,0.1999999999999999,0,20,200,200,12345,1
51,0.9980098729141093,0.0029399326266029,0.0012884822836613,0.005,8.898943666030574e-19,3.900134021176368e-19,0.0,0.0,0.0,0.0,0,20,200,200,12345,1
52,0.8494411873928251,0.0234211253257414,0.0102647607542283,0.0072400497512437,0.0050195546520417,0.0021999168220731,0.0021129914902512,0.0022969845478326,0.001125522428438,0.1999999999999999,1,20,200,200,12345,1
53,0.9860273312628756,0.0108841844669311,0.0047702041641502,0.0074888059701492,0.0054548347355019,0.0023906867298234,0.0037743697352051,0.002421702676891,0.0012685654393383,0.3,1,20,200,200,12345,1
54,0.981824321538472,0.0083496964241125,0.0036594158039772,0.1699179104477612,0.055028787290995,0.0241174293840001,0.0208517249278907,0.0013686583237238,0.0005998409577642,0.0,0,20,200,200,12345,2
55,0.973935035689769,0.0262643023041658,0.0115108380054089,0.0077325870646766,0.0069273524940493,0.0030360460918362,0.0038229333073661,0.0020578204816707,0.0011186439564794,0.35,0,20,200,200,12345,1
56,0.9571759513448967,0.0130597734258113,0.0057236980655684,0.0116417910447761,0.0082891337009974,0.0036328730202828,0.0031149333115889,0.0032242906799305,0.0014498179045946,0.05,1,20,200,200,12345,1
57,0.9995121039429256,0.0003818026732357,0.0001673323993438,0.034820895522388,0.0575216400581886,0.0252099702800874,0.0129005948279257,0.0072911986112061,0.0045191317188773,0.5,0,20,200,200,12345,1
58,0.9579741368153456,0.0092825020590606,0.0040682358986468,0.027731343283582,0.0443056262096929,0.0194177968301516,0.0104721136085279,0.0062400485322204,0.0038676221500742,0.5,0,20,200,200,12345,1
59,0.953131675697608,0.0083447595892808,0.0036572521407149,0.0059701492537313,0.0061256213921043,0.0026846719440857,0.0054675714999367,0.0049710996372629,0.0024358388222588,0.1999999999999999,0,20,200,200,12345,1
60,0.996212760009486,0.0005265471566306,0.0002307694661747,0.0935074626865671,1.4238309865648918e-17,6.240214433882189e-18,0.0089587973461402,0.0,0.0,0.0,0,20,200,200,12345,1
61,0.9897820564198702,0.0041283096106568,0.0018093114606325,0.0567922885572139,0.0724151858622782,0.0317373545255018,0.0111717486952677,0.0056684478145067,0.0029693145491368,0.3,0,20,200,200,12345,1
62,0.9517887867351134,0.0064420588444209,0.002823356772271,0.0404067164179104,0.0441839676321392,0.0193644776076582,0.0086918267461362,0.0073585803518158,0.0041635087800348,0.4,0,20,200,200,12345,1
