rule,entropy_mean,entropy_std,entropy_ci95,sens_mean,sens_std,sens_ci95,lyap_mean,lyap_std,lyap_ci95,lyap_bad_frac,glider_heuristic,runs,N,T,seed
53,0.9860273312628756,0.010884184466931157,0.004770204164150253,0.007488805970149254,0.005454834735501991,0.0023906867298234694,0.0037743697352051347,0.002421702676891091,0.001268565439338369,0.30000000000000004,1,20,200,200,12345
54,0.9818243215384719,0.008349696424112523,0.0036594158039772932,0.1699179104477612,0.055028787290995085,0.024117429384000133,0.020851724927890763,0.0013686583237238652,0.0005998409577642253,0.0,0,20,200,200,12345
55,0.973935035689769,0.02626430230416588,0.011510838005408976,0.007732587064676616,0.006927352494049382,0.0030360460918362362,0.0038229333073661557,0.0020578204816707724,0.0011186439564794916,0.35,0,20,200,200,12345
56,0.9571759513448967,0.013059773425811367,0.005723698065568466,0.011641791044776119,0.00828913370099741,0.003632873020282866,0.0031149333115889164,0.003224290679930502,0.0014498179045946066,0.050000000000000044,1,20,200,200,12345
57,0.9995121039429256,0.00038180267323571554,0.0001673323993438551,0.034820895522388054,0.05752164005818865,0.025209970280087413,0.012900594827925799,0.00729119861120613,0.0045191317188773,0.5,0,20,200,200,12345
58,0.9579741368153455,0.009282502059060607,0.004068235898646892,0.027731343283582087,0.044305626209692986,0.01941779683015169,0.010472113608527981,0.006240048532220488,0.003867622150074237,0.5,0,20,200,200,12345
59,0.953131675697608,0.008344759589280819,0.003657252140714926,0.005970149253731344,0.006125621392104379,0.0026846719440857675,0.0054675714999367206,0.0049710996372629036,0.0024358388222588227,0.19999999999999996,0,20,200,200,12345
60,0.9962127600094861,0.0005265471566306927,0.00023076946617474973,0.09350746268656714,1.4238309865648918e-17,6.240214433882188e-18,0.008958797346140275,0.0,0.0,0.0,0,20,200,200,12345
61,0.9897820564198702,0.004128309610656899,0.0018093114606325253,0.05679228855721393,0.07241518586227828,0.031737354525501846,0.011171748695267705,0.005668447814506755,0.002969314549136852,0.30000000000000004,0,20,200,200,12345
62,0.9517887867351134,0.006442058844420915,0.0028233567722710656,0.04040671641791045,0.044183967632139234,0.019364477607658293,0.00869182674613627,0.0073585803518158134,0.004163508780034864,0.4,0,20,200,200,12345
63,0.8658596959248082,0.061730552956387456,0.02705460768903006,0.0056218905472636815,0.0037747324543960445,0.0016543494395212192,0.0019197422884586306,0.0024012721267544102,0.0012578632627015015,0.30000000000000004,0,20,200,200,12345
64,0.007657902552996419,0.00020717761044816458,9.079959119410106e-05,4.601990049751243e-05,1.853631393956703e-05,8.123897772145166e-06,nan,nan,nan,1.0,0,20,200,200,12345
65,0.9718560281260732,0.0036668547133560936,0.0016070699349252271,0.024690298507462686,0.043576825714028065,0.019098385929884602,0.012790896828141612,0.005378588537834772,0.0030432229493755586,0.4,0,20,200,200,12345
66,0.7030390524260521,0.031098540746411576,0.013629536417564573,0.006986318407960199,0.004670165661434149,0.0020467903454897966,0.002455837308467748,0.0021427210696938043,0.0009898866310668977,0.09999999999999998,1,20,200,200,12345
67,0.9902941234952566,0.002279340313710681,0.0009989649375213045,0.039799751243781094,0.07773303746938504,0.0340680057523003,0.01226735826290549,0.00540008691119293,0.003055386799188121,0.4,0,20,200,200,12345
68,0.8104406471298222,0.03033428259606327,0.013294585514963307,0.005497512437810945,0.0031876779876476983,0.0013970614754689576,0.001094442916673598,0.001655120865483293,0.0007442331052786848,0.050000000000000044,0,20,200,200,12345
69,0.9901566529976421,0.002520225664025892,0.0011045375970666824,0.008215174129353235,0.008797037152566717,0.0038554715224511514,0.007517953226529472,0.0019369363506811323,0.0011446562355726133,0.44999999999999996,0,20,200,200,12345
70,0.9983879896543891,0.0011722568479954302,0.0005137642158446542,0.009968905472636815,0.009177966802449531,0.004022421302440653,0.0047308587305169136,0.0032704489791972645,0.0016550755389908014,0.25,0,20,200,200,12345
71,0.9954493247167322,0.006255832293646174,0.002741739387828529,0.007985074626865672,0.003385855957108062,0.0014839168000947828,0.001922571505169192,0.002688087211661181,0.001178106164005564,0.0,0,20,200,200,12345
72,0.5154071735231491,0.06266517906595775,0.02746422564188095,0.005509950248756218,0.005064704782286357,0.002219704739115471,0.003465735902799727,4.548483326832392e-19,2.6879818743790367e-19,0.44999999999999996,0,20,200,200,12345
73,0.9920506557708213,0.00475009708242323,0.0020818218353002653,0.030666666666666665,0.019383322363265978,0.0084951155810747,0.009321327015670462,0.0022964067073131767,0.0010916424547478241,0.15000000000000002,0,20,200,200,12345
74,0.9064103099936011,0.017050788786550763,0.007472837668156857,0.013577114427860696,0.013977162948161965,0.006125761750997578,0.004400789533307886,0.0028227504985465076,0.0013418504107137316,0.15000000000000002,1,20,200,200,12345
75,0.9962613984984634,0.0005975050809467129,0.00026186814766807943,0.2877363184079602,0.025657390934622836,0.01124484737000029,0.023129555883054737,0.0003251102536748164,0.00014248585097022167,0.0,0,20,200,200,12345
76,0.9544622036761284,0.013742869822766872,0.006023078261408893,0.005746268656716418,0.001822624619564792,0.0007988004591750672,0.0017328679513998633,0.001783106411423246,0.0008237531349284637,0.09999999999999998,0,20,200,200,12345
77,0.9992871751811705,0.0009276247876274778,0.0004065494882187738,0.007980099502487563,0.006719019406371911,0.0029447400904184236,0.0036989833075118383,0.0034310863072942433,0.0016812322905741793,0.19999999999999996,0,20,200,200,12345
